topic,website,intensity
WORDPRESS DAILY ACTIVITY,wqkx.net,HIGH
LIJIT,morrisseylawfirm.com,HIGH
SAP CRYSTAL REPORTS,mountolympuswater.com,LOW
LIJIT,mycardguide.com,HIGH
SAP CRYSTAL REPORTS,mycollegeguidance.com,LOW
SAP CRYSTAL REPORTS,myinternethelper.com,LOW
SYMANTEC ATHENA,mypassinfo.com,HIGH
WIX.COM,nmministry.net,HIGH
COMMVAULT,global-analytics.com,HIGH
WIX.COM,nashpictures.com,HIGH
SAP CRYSTAL REPORTS,nbtc.com,LOW
SAP CRYSTAL REPORTS,nexpedite.com,LOW
INSTRA,norkom.com,HIGH
DEDICATED MEDIA,richmondandtwickenhamtimes.co.uk,HIGH
PINTEREST,rivalus.net,HIGH
PINTEREST,salaam-news.com,HIGH
INTERMEDIA,kbjs.com,HIGH
NEXTGEN GALLERY,frugalvillage.com,HIGH
PLATFORM PRO,tvtrifle.com,HIGH
LINKEDIN PLATFORM API,ultraray.com,HIGH
PLATFORM PRO,umpqua.edu,HIGH
PLATFORM PRO,useminc.com,HIGH
PLATFORM PRO,valdostadailytimes.com,HIGH
PLATFORM PRO,vbm-torah.org,HIGH
PLATFORM PRO,vidyamandir.com,HIGH
PLATFORM PRO,villagecare.org,HIGH
PLATFORM PRO,visualpathy.com,HIGH
PCANYWHERE,jiu.edu,LOW
AMAZON AD SYSTEM,sandoinsurance.com,HIGH
HUBSPOT,shipcotransit.com,LOW
MAVENLINK,signnow.com,LOW
GITHUB,pork.org,LOW
TREND MICRO,powerexinc.com,LOW
MAC OS,stagelightproductions.com,LOW
YAHOO USER INTERFACE,stendahls.se,HIGH
SHOCKWAVE,stevemillerband.com,HIGH
SHOCKWAVE,stis-international.com,HIGH
TRIPADVISOR WIDGET,stjay.com,HIGH
SHOCKWAVE,ohmygore.com,HIGH
SHOCKWAVE,onestopwines.net,HIGH
SHOCKWAVE,onofreeletro.com.br,HIGH
JQUERY BGIFRAME,merial.com,HIGH
WEBPACK,merriell.com,HIGH
POWWEB DNS,minoritybank.com,HIGH
WEBPACK,nuleafnv.com,HIGH
JQUERY UI MOUSE,cimic-coe.org,HIGH
LOADDNS,clarkpest.com,LOW
LOADDNS,clevelandbrothers.com,LOW
MICROSOFT AZURE,decktechinc.com,HIGH
APACHE TRAFFIC SERVER,delmarhat.com,HIGH
MICROSOFT AZURE,dentaquestfoundation.org,HIGH
APPNEXUS,maggieflaniganstudio.com,LOW
APPNEXUS,galoninsurance.com,HIGH
CAKEPHP,opinionsforcash.com,HIGH
OSS CDN,parkplacewv.com,HIGH
AMAZON AWS IDENTITY AND ACCESS MANAGEMENT (IAM),mnsd.net,HIGH
OSS CDN,morrisonschools.org,HIGH
OMNIGRAFFLE,stagedor.com,LOW
YAHOO ANALYTICS,candygirlcreationz.com,HIGH
YAHOO ANALYTICS,cannonballread.com,HIGH
PARDOT,carlblack.com,MEDIUM
MICROSOFT FRONTPAGE,cencam.org,LOW
BLOGGER,oldtips.blogspot.com,HIGH
SAGE PEACHTREE,onsiteneonatalcareers.com,LOW
SAGE PEACHTREE,oriyaorganics.com,LOW
SAGE PEACHTREE,osinw.com,LOW
ORACLE NETBEANS,overlandstorage.com,LOW
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",overlandstorage.com,HIGH
SAGE PEACHTREE,parkcommunitychurch.org,LOW
SIGNAL,peppynet.com,HIGH
MOODLE,eastersealstristate.org,LOW
EVEREST TECHNOLOGIES,easyflirt.com,HIGH
MOODLE,emailbroadcast.com,LOW
ALLSCRIPTS,evertecinc.com,LOW
EVEREST TECHNOLOGIES,famoushookups.com,HIGH
EVEREST TECHNOLOGIES,famousquotes123.com,HIGH
IPONWEB BIDSWITCH,dealslist.com,HIGH
MOODLE,decaturco.k12.in.us,LOW
EVEREST TECHNOLOGIES,disfordentist.com,HIGH
WIX.COM,odysseyac.com,HIGH
LIJIT,onlinepizzadeal.com,HIGH
SAP CRYSTAL REPORTS,oshkoshcorporation.com,MEDIUM
THE EVENTS CALENDAR,paintersridge.org,HIGH
THE EVENTS CALENDAR,hatfieldfx.com,HIGH
SAP CRYSTAL REPORTS,healthstrategies.com,LOW
SAP CRYSTAL REPORTS,healthtrustjobs.com,LOW
LIJIT,hieatascadero.com,HIGH
WIX.COM,houstonfumc.com,HIGH
WIX.COM,imagine-team.com,HIGH
IMPACT RADIUS,imaginethatstudio.com,HIGH
SAP CRYSTAL REPORTS,impragas.co.uk,LOW
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",tripleringtech.com,LOW
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",untramat.co.za,LOW
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",utlx.com,LOW
PHOTO GALLERY FOR WORDPRESS,ihascupquake.com,HIGH
LABVIEW,iitri.org,HIGH
INTERNETTRAFFIC,iwishlessons.com,HIGH
PTC,salzmannhughes.com,LOW
PERL,securitycentralinc.com,LOW
PERL,selectron.be,LOW
PERL,sentechgroup.com,LOW
PERL,serviz.com,MEDIUM
PERL,shieldshealthsolutions.com,LOW
PERL,smartwool.com,LOW
TREND MICRO,smartwool.com,LOW
PERL,softsmithinfotech.com,LOW
HUBSPOT,slalomprod.tv,MEDIUM
HUBSPOT,slo-gan.com,LOW
HUBSPOT,smc-entertainment.com,LOW
HUBSPOT,snaplogic.com,MEDIUM
DOCKER,servergrid.com,LOW
HOSTGATOR,peoplesmartcom.com,HIGH
VISA,conde.com,HIGH
HRSMART,cosmicaes.com,LOW
SHOCKWAVE,storyuk.com,HIGH
SHOCKWAVE,stylefashionetc.in,HIGH
SHOCKWAVE,surtseyinc.com,HIGH
MAC OS,swansspa.com,LOW
MAC OS,t3power.com,MEDIUM
SHOCKWAVE,texashookah.com,HIGH
LOADDNS,coecapital.com,LOW
SMARTCLIP,michaelandson.com,HIGH
UNIX,midwayimporting.com,HIGH
WEBPACK,oxygenfitstudio.com,HIGH
WEBPACK,neighborhoodchristianlawyer.com,HIGH
JQUERY THROTTLE DEBOUNCE,synqronus.com,HIGH
YUI3,subaruofglendale.net,HIGH
SALES ENGINE INTERNATIONAL,greenvalleyinc.com,LOW
APPNEXUS,greenwooddemocrat.com,HIGH
APPNEXUS,griffingatemarriott.com,HIGH
APPNEXUS,gnd.com,HIGH
SAP CRM,ma-mcg.com,LOW
MICROSOFT DYNAMICS,mapic-china.com,LOW
MICROSOFT DYNAMICS,marinerfinance.com,LOW
PERL,fastcompany.com,HIGH
SIEMENS TEAMCENTER,beaerospace.us,LOW
MODERNIZR,bigjakesbbq.com,HIGH
MODERNIZR,blacktiemedia.nl,HIGH
MODERNIZR,blinepubs.com,HIGH
MODERNIZR,blinksale.com,HIGH
TW TELECOM,darting.com,HIGH
GOOGLE API,cualba.com,HIGH
GOOGLE API,culinarywooddesigns.com,HIGH
PURE CHAT,curry-printing.com,HIGH
GOOGLE API,customiw.com,HIGH
GOOGLE API,bobmoorerealty.com,HIGH
QUEST VRANGER,bocamx.com,LOW
SAP CRYSTAL REPORTS,intersocietal.org,MEDIUM
SAP CRYSTAL REPORTS,iquasar.com,LOW
SAP CRYSTAL REPORTS,guidemark.com,LOW
SAP CRYSTAL REPORTS,harasguindalero.cl,LOW
LIJIT,hvmed.com,HIGH
WIX.COM,illuminatecreation.com,HIGH
SAP CRYSTAL REPORTS,indiacom.com,LOW
EVEREST TECHNOLOGIES,dodgemotorcar.com,HIGH
EVEREST TECHNOLOGIES,doityourselfcapitalism.com,HIGH
IPONWEB BIDSWITCH,dypadvisors.com,HIGH
MOODLE,germantownacademy.ne,LOW
FORECAST IO,guelph.ca,HIGH
IPONWEB BIDSWITCH,gunsoftheoldwest.com,HIGH
WIX.COM,theartcartel.org,HIGH
WIX.COM,thefeinberglawgroup.com,HIGH
THE EVENTS CALENDAR,thejewishnews.com,HIGH
SAP CRYSTAL REPORTS,thomaskelly.com,LOW
LIJIT,thomasvillehomes.net,HIGH
COMMVAULT,tollcareercenter.com,HIGH
VMWARE ESX SERVER,careersatsafeway.com,LOW
DELL SONICWALL,fmdc.cc,LOW
FACEBOOK DOMAIN INSIGHTS,twinkegs.com,HIGH
MEDITECH,uwosh.edu,LOW
RUBICON PROJECT,thismamaloves.com,HIGH
RUBICON PROJECT,trafficsafetystore.com,HIGH
RUBICON PROJECT,transgenderzone.com,HIGH
BURST MEDIA,unwiredbuyer.com,HIGH
RUBICON PROJECT,unwiredbuyer.com,HIGH
RUBICON PROJECT,visible.vc,HIGH
RUBICON PROJECT,vslive.com,HIGH
TRUSTPILOT,catawiki.nl,HIGH
NETWORK SOLUTIONS DNS,cdlc.org,HIGH
NETWORK SOLUTIONS DNS,celiacdiseasedna.com,HIGH
COMODO POSITIVESSL,familyfirstspringhill.com,HIGH
COMODO POSITIVESSL,fitinthecity.hu,HIGH
COMODO POSITIVESSL,fladotnet.com,HIGH
APPLICATION REQUEST ROUTING,flickchart.com,HIGH
COMODO POSITIVESSL,fosteringexecutiveleadership.com,HIGH
COMODO SSL,evafunds.com,HIGH
PEOPLESOFT ENTERPRISE PERFORMANCE MANAGEMENT (EPM),experianconsumerdirect.com,LOW
COMODO SSL,familytreenow.com,HIGH
COMODO SSL,fastpitchrecruit.com,HIGH
COMODO SSL,fiduciary-pa.com,HIGH
HYPERION,thesewwhatguild.com,LOW
HYPERION,twg.com,LOW
HYPERION,usamobility.net,MEDIUM
QUALTRICS,turners-seafood.com,LOW
SHOCKWAVE FLASH EMBED,grattanproducts.com,HIGH
SHOCKWAVE FLASH EMBED,greop.com,HIGH
SNOWPLOW,grupoexodo.com,HIGH
SHOCKWAVE FLASH EMBED,hanaoka-restaurant.com,HIGH
SHOCKWAVE FLASH EMBED,headnokka.com,HIGH
SITE5 DNS,headstrong.org,HIGH
TWITTER TWEET BUTTON,insurenv.com,HIGH
TESTNG,interfy.com,LOW
TWITTER TWEET BUTTON,intheriffle.com,HIGH
SAP R/3,italianosito.com,LOW
SAP R/3,jaxtr.com,LOW
TWITTER TWEET BUTTON,journaldugeek.com,HIGH
LAYERED TECH,justinchasecanavan.com,HIGH
TWITTER ADS,kimptonhotels.com,HIGH
TWITTER TWEET BUTTON,kinpoint.com,HIGH
SAP SALES,kochindustriesinc.com,LOW
ISLAND PACIFIC,kochindustriesinc.com,LOW
NEXTGEN HEALTHCARE,entechus.com,LOW
ZEN CART,peakpreview.co.uk,HIGH
ZEN CART,perfectelc.com,HIGH
SAP CRYSTAL REPORTS,perrigo.com,HIGH
ZEN CART,pgrimshop.top,HIGH
ZEN CART,piscinasinnova.com,HIGH
AB TASTY,plantes-et-jardins.com,HIGH
ZEN CART,plushdollsale.loan,HIGH
ZEN CART,projekt-empa.de,HIGH
ZEN CART,prolococastelveccana.it,HIGH
JQUERY 1.8.3,promexico.gob.mx,HIGH
COMMVAULT,proskauer.com,LOW
ZEN CART,psycho-onkologie.at,HIGH
ZEN CART,quaeny.com,HIGH
ZEN CART,raccoltarifiutilecce.it,HIGH
JQUERY 1.8.3,rajalamillwork.com,HIGH
ZEN CART,ranjeetnb.com,HIGH
ZEN CART,reitponyhengste-kreibohm.de,HIGH
ZEN CART,rejex.fr,HIGH
APACHE TRAFFIC SERVER,southernbellybbq.com,HIGH
MICROSOFT AZURE,southerntierbrewing.com,HIGH
AMAZON AWS IDENTITY AND ACCESS MANAGEMENT (IAM),spurlinindustries.com,LOW
AMAZON AWS IDENTITY AND ACCESS MANAGEMENT (IAM),safholland.com,LOW
MICROSOFT AZURE,sbexp.com,HIGH
SAGE 100,scrconstruction.com,LOW
STARFIELD,folsomlakerealty.com,HIGH
SEARCH OPTICS,dupuisford.com,HIGH
WORDPRESS DAILY ACTIVITY,carfab.com,HIGH
SGI RACKSPACE MAILGUN,cascade-cdc.com,HIGH
RUBICON PROJECT,yellowtennessee.com,HIGH
WP MISSED SCHEDULE,yourestatematters.com,HIGH
RUBICON PROJECT,yoursourceisopen.com,HIGH
FACEBOOK DOMAIN INSIGHTS,zenchef.com,HIGH
FACEBOOK DOMAIN INSIGHTS,zoceanhotelsouthbeach.com,HIGH
BURST MEDIA,vincentbuckles.com,HIGH
NEULION,hillelatuga.org,LOW
COMODO SSL,findtool-search.net,HIGH
COMODO SSL,firstdigest.com,HIGH
JQUERY 1.11.0,fitfox.de,HIGH
JQUERY 1.11.0,flatironskitchenandbathboulder.com,HIGH
COMODO SSL,flipvibe.com,HIGH
JQUERY 1.11.0,formationsdirect.com,HIGH
COMODO SSL,franklinschool.org,HIGH
AMAZON AWS,ugur-ozsoy.com,HIGH
AMAZON AWS,ukimage.com,HIGH
AMAZON AWS,jmiw.com,LOW
AMAZON AWS,knowledgepool.com,LOW
AMAZON AWS,larnedks.org,LOW
AMAZON AWS,level5consulting.net,LOW
DRUPAL,asteelflash.com,LOW
STEADFAST,bambaexperience.com,HIGH
JQUERY 1.4.2,myeyedr.com,HIGH
INSTAGRAM API,myhealthmaven.com,HIGH
CISCO UNIFIED CONTACT CENTER EXPRESS,nasa.gov,LOW
ORIENTATION,nhsofr.org,HIGH
MIN WIDTH,btia.com,HIGH
MIN WIDTH,bydrillinginc.com,HIGH
MIN WIDTH,cahousemusic.com,HIGH
MIN WIDTH,calfcare.ca,HIGH
MIN WIDTH,canadianmusicians.com,HIGH
MIN WIDTH,candcgarage.com,HIGH
COMODO POSITIVESSL,ghostfacts.com,HIGH
COMODO POSITIVESSL,gklawpc.com,HIGH
AVAYA AGILE COMMUNICATION ENVIRONMENT,dieboldinsurance.com,LOW
NEXTGEN HEALTHCARE,expressionshomegallery.com,LOW
SYMANTEC ENDPOINT PROTECTION,evicore.com,LOW
WYSIJA,jerhrgroup.com,HIGH
ZSERVER,jist.com,HIGH
JQUERY 1.7.1,multisportsystems.com,HIGH
TWITTER TWEET BUTTON,lav1.com,HIGH
SAP SALES,lector.dk,LOW
TWITTER TWEET BUTTON,limericki.com,HIGH
TWITTER TWEET BUTTON,line.me,HIGH
TWITTER TWEET BUTTON,luxworldwide.com,HIGH
TWITTER ADS,mancomm.com,HIGH
MICROSOFT ENTERPRISE PROJECT MANAGEMENT,statesmanjournal.com,LOW
EYEOTA,sfxcabrini.org,HIGH
CONCUR TRAVEL,shdr.com,LOW
SAGE 100,swiha.edu,MEDIUM
MICROSOFT AZURE,taconnet.com,HIGH
DOUBLEVERIFY,thefallingdarkness.com,HIGH
MICROSOFT AZURE,thegreatbigevent.com,HIGH
MICROSOFT AZURE,thehealthstore.ie,HIGH
MICROSOFT AZURE,thepedcenter.com,HIGH
RUBICON PROJECT,vodafone.gr,HIGH
FACEBOOK DOMAIN INSIGHTS,volunteernow.org,HIGH
RUBICON PROJECT,webbyplanet.com,HIGH
RUBICON PROJECT,webreserv.com,HIGH
BURST MEDIA,westwood.edu,HIGH
RUBICON PROJECT,westwood.edu,HIGH
BURST MEDIA,wgrfurniture.com,HIGH
RUBICON PROJECT,whirlpoolindia.com,HIGH
FACEBOOK DOMAIN INSIGHTS,wolverinewatertreatment.com,HIGH
RUBICON PROJECT,wwwyouravon.com,HIGH
RUBICON PROJECT,yarnsupplies.com,HIGH
CANONICAL UBUNTU,databankimx.com,LOW
AMAZON CLOUDFRONT,datasheetarchive.com,HIGH
WORDPRESS DAILY ACTIVITY,centralgatech.edu,HIGH
WORDPRESS DAILY ACTIVITY,charlotteinsurance.com,HIGH
SGI RACKSPACE MAILGUN,cheesemonthclub.com,HIGH
ZEN CART,rhesostore.top,HIGH
ZEN CART,richards-bangkok.com,HIGH
JQUERY 1.8.3,rockreation-slc.com,HIGH
ZEN CART,rocksound-music-school.de,HIGH
ZEN CART,seosolutions.dk,HIGH
JQUERY 1.8.3,servprokendallcounty.com,HIGH
ZEN CART,sestime.com,HIGH
ZEN CART,shiatsuperschy.at,HIGH
JQUERY 1.8.3,shinylittleblessings.com,HIGH
ZEN CART,shoesvbuy.se,HIGH
APPLE LAPTOP,lubbockisd.org,LOW
ZEN CART,lucky-style.com,HIGH
ZEN CART,lucywoodman.co.uk,HIGH
HYPERION,virtualcom.it,LOW
HYPERION,translations.com,LOW
HYPERION,weecarepeds.com,LOW
QUALTRICS,wondfousa.com,LOW
IBM WEBSPHERE COMMERCE,zebra.com,MEDIUM
HYPERION,zeledyne.com,LOW
QUALTRICS,w-dubuque.k12.ia.us,LOW
PIVOTAL VFABRIC RABBITMQ,dalconsultingllc.com,MEDIUM
JQUERY 1.4.2,buffaloexhange.com,HIGH
GSAP,pinecrestonline.org,HIGH
MEDIA INNOVATION GROUP,pknpk.com,HIGH
GSAP,planfortechnology.com,HIGH
GSAP,pocketanatomy.com,HIGH
MEDIA INNOVATION GROUP,point941.com,HIGH
GSAP,polyair.com,HIGH
GSAP,port25.com,HIGH
GSAP,portalmedia.com,HIGH
MEDIA INNOVATION GROUP,posjhomewood.org,HIGH
TWEET FOR JQUERY,powertrip-rentals.com,HIGH
GSAP,ppfh.net,HIGH
GSAP,premierinfusion.com,HIGH
MEDIA INNOVATION GROUP,preoccupiedterritory.com,HIGH
GSAP,primalvantage.com,HIGH
GSAP,printable.com,HIGH
GSAP,prmediarelease.com,HIGH
GSAP,projectpartystudio.com,HIGH
MEDIA INNOVATION GROUP,prolite.com,HIGH
AMAZON AWS,myoderm.com,LOW
ORACLE JDEVELOPER,nmh.org,LOW
AMAZON AWS,ncku.edu.tw,LOW
AMAZON AWS,newstylemotherlode.com,LOW
AMAZON AWS,pelcoservices.co.uk,LOW
YOUTUBE IFRAME UPLOAD,marathoncapital.com,HIGH
HP SITESCOPE,cardinalhealth.com,MEDIUM
MITEL,cataphora.com,LOW
RUBICON PROJECT,wava.org,HIGH
RUBICON PROJECT,waysidecrossministries.org,HIGH
DASSAULT 3DVIA,westernind.com,LOW
BURST MEDIA,whitehavennews.co.uk,HIGH
BURST MEDIA,wiggle.co.uk,HIGH
RUBICON PROJECT,wiggle.co.uk,HIGH
RUBICON PROJECT,worldandcitymaps.com,HIGH
RUBICON PROJECT,worlthompsonmotors.com,HIGH
RUBICON PROJECT,xylitol.org,HIGH
TRELLO,ntut.edu.tw,LOW
TRELLO,ogunquitplayhouse.org,LOW
DOSARREST,ohreallybeckyforever.com,HIGH
VIVIO TECHNOLOGIES,olsontireandauto.com,HIGH
JQUERY 1.4.2,omekcapital.com,HIGH
DELL POWEREDGE M620 BLADE SERVER,peterpaulgallery.com,LOW
ORACLE EXADATA,pgs.com,LOW
COMODO SSL,furnituredecorshowroom.com,HIGH
OPTIMIZELY,klou.tt,HIGH
OPTIMIZELY,kswholesaletile.com,HIGH
OPTIMIZELY,landscapingplacerville.com,HIGH
LINKEDIN COMPANY PROFILE,levenhuk.com,HIGH
OPTIMIZELY,lipodoc.com,HIGH
JQUERY 1.8.1,marc-colin.com,HIGH
TERAGO NETWORKS,freesfx.co.uk,HIGH
DELL SONICWALL,fuelmedical.com,MEDIUM
JQUERY 1.7.1,moseylife.com,HIGH
APPLE LAPTOP,lyndonstate.edu,LOW
